Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1//3;PPA;CrsPA;PrgP;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;1//3;CPA;Mis;Dis;Rec;PrgR;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%
1;Matías Abaldo;URU;FW,MF;Independiente;Liga Profesional Argentina;21;2004;13;12;919;10.2;1;0;1;1;0;0;0;0;1.0;1.0;0.8;1.8;25;24;105;0.10;0.00;0.10;0.10;0.10;0.10;0.08;0.17;0.10;0.17;12;4;33.3;1.18;0.39;0.08;0.25;16.6;0;0;0;1.0;1.0;0.08;0.0;0.0;201;310;64.8;2913;892;122;150;81.3;59;84;70.2;14;39;35.9;0;0.8;0.9;-0.8;8;19;9;6;24;25;2.45;16;0;3;2;4;0;2;0.20;0;0;1;0;1;0;7;3;1;5;1;5;12;41.7;7;7;0;7;3;10;6;0;430;7;41;182;212;26;430;40;11;27.5;26;65.0;257;1686;704;25;13;11;40;15;323;105;0;0;0;2;9;8;36;3;3;2;0;0;35;10;14;41.7
4;Carlos Abeldano;ARG;FW,MF;Atlé Tucumán;Liga Profesional Argentina;20;2005;3;0;34;0.4;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;1;1;0.00;0.00;0.00;0.00;0.00;0.03;0.18;0.21;0.03;0.21;1;0;0.0;2.65;0.00;0.00;;31.3;0;0;0;0.0;0.0;0.01;0.0;0.0;3;4;75.0;45;12;1;1;100.0;2;3;66.7;0;0;;0;0.1;0.0;-0.1;1;0;1;0;1;1;2.50;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;0;0;6;0;1;2;3;0;6;0;0;;0;;2;16;0;0;0;0;0;2;4;1;0;0;0;4;1;0;0;0;0;0;0;0;0;1;2;33.3
9;Juan Achetoni;ARG;FW;Aldosivi;Liga Profesional Argentina;20;2005;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;1;3;33.3;15;0;1;1;100.0;0;2;0.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;0;0;1;0;1;2;50.0;1;0;0;0;0;1;1;0;6;1;1;4;1;0;6;0;0;;0;;2;9;8;0;0;0;1;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
12;Lucas Acosta;ARG;FW,DF;San Martín de San Juan;Liga Profesional Argentina;20;2005;1;0;10;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;4;8;50.0;60;14;3;3;100.0;0;3;0.0;1;1;100.0;0;0.0;0.0;0.0;0;1;1;0;1;1;9.00;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;9;0;0;6;3;0;9;1;0;0.0;1;100.0;6;51;34;2;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;Thiago Acosta;ARG;MF;River Plate;Liga Profesional Argentina;20;2005;3;1;118;1.3;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.3;2;9;4;0.00;0.00;0.00;0.00;0.00;0.05;0.15;0.20;0.05;0.20;3;2;66.7;2.29;1.53;0.00;0.00;25.9;0;0;0;0.1;0.1;0.02;-0.1;-0.1;60;72;83.3;1020;367;24;26;92.3;30;34;88.2;4;8;50.0;0;0.2;0.4;-0.2;4;11;2;0;9;7;5.34;5;1;0;0;0;1;0;0.00;0;0;0;0;0;0;8;6;2;5;1;5;7;71.4;2;2;0;2;0;8;2;1;97;1;14;61;22;2;97;2;1;50.0;1;50.0;47;253;93;2;2;0;5;3;56;4;0;0;0;4;0;0;3;0;6;0;0;0;5;3;2;60.0
16;Valentino Acuña;ARG;MF,FW;Newell's OB;Liga Profesional Argentina;19;2006;11;4;495;5.5;1;0;1;1;0;0;1;0;0.6;0.6;0.3;0.8;9;20;13;0.18;0.00;0.18;0.18;0.18;0.11;0.05;0.15;0.11;0.15;6;2;33.3;1.09;0.36;0.17;0.50;17.6;0;0;0;0.6;0.6;0.10;+0.4;+0.4;116;164;70.7;1741;653;66;84;78.6;37;44;84.1;8;17;47.1;0;0.3;0.3;-0.3;4;14;2;0;20;11;2.00;5;3;1;0;1;1;0;0.00;0;0;0;0;0;0;15;7;1;8;6;4;7;57.1;3;8;0;8;2;17;7;0;238;5;43;114;90;11;238;23;13;56.5;10;43.5;124;646;291;9;6;2;13;10;123;13;1;0;0;6;6;0;11;2;7;0;0;0;39;3;3;50.0
20;Mateo Aguiar;ARG;DF,MF;Defensa y Just;Liga Profesional Argentina;18;2007;5;0;97;1.1;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;5;4;12;0.00;0.00;0.00;0.00;0.00;0.06;0.10;0.16;0.06;0.16;2;2;100.0;1.86;1.86;0.00;0.00;23.1;0;0;0;0.1;0.1;0.03;-0.1;-0.1;47;53;88.7;676;104;29;30;96.7;16;20;80.0;1;1;100.0;0;0.1;0.0;-0.1;1;5;0;0;4;5;4.64;3;0;1;0;1;0;0;0.00;0;0;0;0;0;0;2;1;2;0;0;2;3;66.7;1;0;0;0;0;2;2;0;65;1;7;40;18;5;65;4;4;100.0;0;0.0;50;300;105;5;2;3;2;2;52;12;0;0;0;1;1;0;1;0;1;0;0;0;7;1;1;50.0
21;Pablo Aguiar;ARG;MF;Gimnasia–LP;Liga Profesional Argentina;19;2006;2;0;20;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;4;5;80.0;109;33;0;1;0.0;2;2;100.0;2;2;100.0;0;0.0;0.0;0.0;0;1;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;1;0;0;1;0;7;0;2;5;0;0;7;0;0;;0;;2;7;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0.0
30;Ignacio Alastra;ARG;DF,FW;Talleres;Liga Profesional Argentina;18;2007;2;0;50;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.2;1;2;6;0.00;0.00;0.00;0.00;0.00;0.04;0.26;0.30;0.04;0.30;2;0;0.0;3.60;0.00;0.00;;18.9;0;0;0;0.0;0.0;0.01;0.0;0.0;6;9;66.7;147;86;2;4;50.0;3;3;100.0;1;2;50.0;0;0.1;0.0;-0.1;1;2;1;0;2;1;1.80;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;1;1;0;0;0;0;;0;1;0;1;0;1;0;0;21;0;2;11;8;2;21;2;1;50.0;0;0.0;14;86;31;1;2;0;5;0;15;6;0;0;0;0;2;0;2;0;1;0;0;0;1;1;0;100.0
31;Lorenzo Albarracín;ARG;MF;Instituto;Liga Profesional Argentina;18;2007;1;0;24;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;7;8;87.5;115;33;5;5;100.0;2;2;100.0;0;0;;0;0.0;0.0;0.0;0;1;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;2;1;1;1;0;2;2;100.0;0;2;0;2;0;2;0;0;15;0;1;9;5;0;15;1;0;0.0;1;100.0;10;43;13;1;0;0;2;2;10;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;
39;Pablo Altamirano;ARG;MF;Newell's OB;Liga Profesional Argentina;20;2005;2;0;16;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;9;13;69.2;118;22;6;7;85.7;3;4;75.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;13;0;2;5;6;0;13;0;0;;0;;4;20;4;0;0;0;0;0;9;3;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0.0
44;Fabricio Amato;ARG;MF;Ind. Rivadavia;Liga Profesional Argentina;21;2004;1;0;27;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;4;7;57.1;86;71;1;2;50.0;2;3;66.7;1;1;100.0;0;0.0;0.0;0.0;0;1;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;1;0;1;0;1;1;100.0;0;1;0;1;1;2;1;0;13;1;4;9;0;0;13;0;0;;0;;5;29;16;0;0;0;0;1;6;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;
45;Mikel Amondarain;ARG;MF;Estudiantes–LP;Liga Profesional Argentina;20;2005;11;9;681;7.6;0;0;0;0;0;0;0;0;0.4;0.4;1.3;1.7;11;34;11;0.00;0.00;0.00;0.00;0.00;0.06;0.17;0.22;0.06;0.22;10;1;10.0;1.32;0.13;0.00;0.00;20.7;0;0;0;0.4;0.4;0.04;-0.4;-0.4;333;402;82.8;5459;1491;174;197;88.3;130;152;85.5;24;33;72.7;0;1.3;0.4;-1.3;7;29;2;0;34;16;2.11;13;0;1;1;1;0;0;0.00;0;0;0;0;0;0;24;11;7;15;2;12;19;63.2;7;10;4;6;10;34;10;0;499;9;87;357;58;9;499;10;6;60.0;4;40.0;291;1570;714;11;9;2;18;10;333;11;0;0;0;12;6;0;1;10;11;0;0;0;43;12;15;44.4
46;Santino Andino;ARG;MF,FW;Godoy Cruz;Liga Profesional Argentina;20;2005;21;17;1,452;16.1;4;1;5;4;0;0;3;1;2.3;2.3;2.1;4.3;61;30;148;0.25;0.06;0.31;0.25;0.31;0.14;0.13;0.27;0.14;0.27;26;10;38.5;1.61;0.62;0.15;0.40;21.0;1;0;0;2.3;2.3;0.09;+1.7;+1.7;220;369;59.6;3379;1181;114;158;72.2;69;106;65.1;21;49;42.9;1;2.1;1.7;-1.1;25;21;20;11;30;56;3.47;29;8;3;2;11;3;1;0.06;0;0;0;0;1;0;38;22;17;14;7;11;22;50.0;11;21;0;21;12;50;8;0;640;2;74;221;358;50;640;86;33;38.4;52;60.5;399;3068;1470;61;33;21;57;36;406;148;3;1;0;30;46;4;84;12;22;0;0;0;76;4;22;15.4
50;Tobías Andrada;ARG;MF,FW;Vélez Sarsfield;Liga Profesional Argentina;18;2007;11;3;402;4.5;0;0;0;0;0;0;1;0;0.3;0.3;0.0;0.4;6;18;18;0.00;0.00;0.00;0.00;0.00;0.08;0.01;0.09;0.08;0.09;5;1;20.0;1.12;0.22;0.00;0.00;20.8;0;0;0;0.3;0.3;0.07;-0.3;-0.3;132;179;73.7;2149;716;66;82;80.5;48;60;80.0;12;20;60.0;0;0.0;0.3;0.0;1;10;0;0;18;4;0.90;4;0;0;0;0;0;0;0.00;0;0;0;0;0;0;11;9;3;7;1;4;14;28.6;10;7;0;7;4;15;9;0;246;6;53;123;75;4;246;18;8;44.4;10;55.6;128;563;256;6;6;1;13;4;152;18;1;0;0;8;3;0;5;4;9;0;0;0;29;1;6;14.3
52;Luis Angulo;COL;FW,MF;Cen. Córdoba–SdE;Liga Profesional Argentina;21;2004;16;13;989;11.0;1;4;5;1;0;0;4;0;3.3;3.3;2.8;6.1;43;23;105;0.09;0.36;0.46;0.09;0.46;0.30;0.25;0.55;0.30;0.55;18;10;55.6;1.64;0.91;0.06;0.10;14.2;0;0;0;3.3;3.3;0.18;-2.3;-2.3;190;285;66.7;2858;801;110;151;72.8;64;87;73.6;11;25;44.0;4;2.8;2.7;+1.2;16;10;14;4;23;34;3.10;24;1;2;1;5;1;4;0.36;4;0;0;0;0;0;9;8;2;6;1;6;21;28.6;15;8;0;8;3;12;1;0;413;2;22;161;240;61;413;58;25;43.1;33;56.9;299;2141;1116;43;18;30;30;19;320;105;4;0;0;9;15;3;22;3;8;0;0;0;44;5;3;62.5
53;Luis Angulo;COL;FW,MF;Talleres;Liga Profesional Argentina;21;2004;11;3;395;4.4;0;2;2;0;0;0;2;0;0.4;0.4;1.7;2.1;11;9;44;0.00;0.46;0.46;0.00;0.46;0.08;0.38;0.47;0.08;0.47;5;0;0.0;1.14;0.00;0.00;;14.6;0;0;0;0.4;0.4;0.07;-0.4;-0.4;62;94;66.0;949;246;33;41;80.5;20;26;76.9;6;15;40.0;2;1.7;0.7;+0.3;10;7;2;1;9;16;3.65;13;0;2;1;0;0;3;0.68;3;0;0;0;0;0;13;9;4;8;1;6;9;66.7;3;2;0;2;4;17;1;0;165;2;20;65;85;21;165;20;8;40.0;12;60.0;98;720;348;11;8;9;23;7;112;44;2;0;0;14;5;4;10;4;9;0;0;0;16;2;4;33.3
56;Dylan Aquino;ARG;FW,MF;Lanús;Liga Profesional Argentina;20;2005;29;8;1,08;12.0;0;2;2;0;0;0;4;0;2.1;2.1;1.7;3.7;39;45;102;0.00;0.17;0.17;0.00;0.17;0.17;0.14;0.31;0.17;0.31;30;7;23.3;2.50;0.58;0.00;0.00;21.8;2;0;0;2.1;2.1;0.07;-2.1;-2.1;329;423;77.8;5123;1589;180;209;86.1;115;135;85.2;22;44;50.0;2;1.7;1.5;+0.3;18;33;14;2;45;38;3.15;28;2;4;1;2;1;5;0.42;3;0;1;0;1;0;22;12;7;12;3;11;23;47.8;12;26;1;25;10;32;12;0;626;7;75;287;278;34;626;63;35;55.6;28;44.4;369;2400;1213;39;28;10;46;25;417;102;4;0;0;14;22;2;32;10;12;1;0;0;70;7;10;41.2
65;Matías Arias;ARG;MF,FW;Vélez Sarsfield;Liga Profesional Argentina;18;2007;4;0;58;0.6;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;3;7;4;0.00;0.00;0.00;0.00;0.00;0.32;0.02;0.35;0.32;0.35;2;1;50.0;3.10;1.55;0.00;0.00;19.5;0;0;0;0.2;0.2;0.10;-0.2;-0.2;39;50;78.0;740;187;17;19;89.5;16;18;88.9;6;10;60.0;0;0.0;0.2;0.0;1;5;0;0;7;5;7.89;1;2;2;0;0;0;0;0.00;0;0;0;0;0;0;1;1;0;1;0;1;3;33.3;2;1;0;1;0;1;0;0;63;0;3;32;30;1;63;10;4;40.0;6;60.0;42;246;92;3;2;0;1;4;39;4;1;0;0;2;2;0;5;0;1;0;0;0;8;0;1;0.0
72;Jorge de Asís;ARG;MF,FW;Gimnasia–LP;Liga Profesional Argentina;19;2006;3;0;39;0.4;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;1;2;2;0.00;0.00;0.00;0.00;0.00;0.05;0.14;0.19;0.05;0.19;1;0;0.0;2.31;0.00;0.00;;20.2;0;0;0;0.0;0.0;0.02;0.0;0.0;6;11;54.5;59;18;4;8;50.0;1;1;100.0;0;1;0.0;0;0.1;0.1;-0.1;1;0;1;0;2;2;4.62;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;1;0;0;1;0;0;;0;0;0;0;0;1;1;0;22;0;3;3;16;1;22;1;0;0.0;1;100.0;9;46;24;1;2;0;4;1;12;2;1;0;0;3;0;0;0;0;1;0;0;0;1;2;2;50.0
77;Elías Báez;ARG;DF;San Lorenzo;Liga Profesional Argentina;21;2004;32;32;2,808;31.2;1;2;3;1;0;0;5;0;1.1;1.1;1.6;2.7;44;139;109;0.03;0.06;0.10;0.03;0.10;0.04;0.05;0.09;0.04;0.09;21;6;28.6;0.67;0.19;0.05;0.17;23.6;1;0;0;1.1;1.1;0.05;-0.1;-0.1;934;1463;63.8;16699;8123;400;500;80.0;412;616;66.9;100;243;41.2;2;1.6;1.1;+0.4;16;111;19;8;139;54;1.73;41;6;4;2;1;0;5;0.16;3;1;0;1;0;0;71;45;38;26;7;34;70;48.6;36;45;8;37;44;115;123;1;1879;81;539;949;415;28;1879;46;23;50.0;22;47.8;691;3408;1924;44;44;8;52;17;770;109;5;0;0;34;23;0;55;44;45;0;0;0;124;53;45;54.1
94;Diego Barrera;ARG;FW,MF;Cen. Córdoba–SdE;Liga Profesional Argentina;21;2004;24;3;717;8.0;3;0;3;3;0;0;0;0;2.4;2.4;1.4;3.8;33;15;96;0.38;0.00;0.38;0.38;0.38;0.30;0.17;0.48;0.30;0.48;19;6;31.6;2.38;0.75;0.16;0.50;18.2;0;0;0;2.4;2.4;0.13;+0.6;+0.6;174;263;66.2;2799;636;96;113;85.0;59;92;64.1;13;28;46.4;0;1.4;1.2;-1.4;14;13;8;7;15;25;3.14;19;0;2;1;2;1;1;0.13;1;0;0;0;0;0;11;9;5;3;3;7;13;53.8;6;6;1;5;5;16;7;0;368;4;47;143;183;29;368;25;10;40.0;15;60.0;230;1414;660;33;17;9;22;15;251;96;0;0;0;15;9;1;45;5;9;0;0;0;41;8;14;36.4
97;Enzo Barrionuevo;ARG;MF,FW;Godoy Cruz;Liga Profesional Argentina;19;2005;2;1;54;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;4;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;5;12;41.7;87;34;3;6;50.0;1;3;33.3;1;2;50.0;0;0.0;0.3;0.0;1;0;1;1;1;1;1.67;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;14;0;0;6;8;1;14;2;0;0.0;2;100.0;9;33;9;0;0;0;0;0;11;4;0;0;0;1;0;0;3;0;0;0;0;0;1;0;1;0.0
113;Matías Bergara;ARG;MF,FW;Ind. Rivadavia;Liga Profesional Argentina;21;2004;2;0;46;0.5;0;1;1;0;0;0;0;0;0.0;0.0;0.1;0.1;0;5;0;0.00;1.96;1.96;0.00;1.96;0.00;0.26;0.26;0.00;0.26;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;22;25;88.0;476;210;6;7;85.7;11;11;100.0;4;5;80.0;1;0.1;0.3;+0.9;1;1;1;1;5;3;5.87;3;0;0;0;0;0;1;1.96;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;1;0;0;0;0;28;0;5;13;11;0;28;2;1;50.0;1;50.0;18;116;5;0;1;0;0;0;17;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;3;0.0
124;Nicolás Bolcato;ARG;GK;Ind. Rivadavia;Liga Profesional Argentina;21;2004;2;2;180;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;26;57;45.6;1051;871;2;2;100.0;8;9;88.9;16;46;34.8;0;0.0;0.0;0.0;0;2;0;0;0;1;0.50;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;57;44;57;0;0;0;57;0;0;;0;;34;253;175;0;0;0;0;0;14;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;100.0
129;Benjamín Bosch;ARG;MF;Vélez Sarsfield;Liga Profesional Argentina;20;2005;2;1;106;1.2;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;2;6;11;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07;2;1;50.0;1.70;0.85;0.00;0.00;22.2;0;0;0;0.1;0.1;0.04;-0.1;-0.1;32;44;72.7;484;177;16;23;69.6;11;12;91.7;2;3;66.7;0;0.0;0.1;0.0;0;2;3;1;6;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;1;2;0;58;1;7;28;23;2;58;6;3;50.0;3;50.0;40;205;110;2;2;1;4;2;44;11;0;0;0;1;1;0;4;1;0;0;0;0;5;0;1;0.0
135;Gastón Bouhier;ARG;MF;Arg Juniors;Liga Profesional Argentina;17;2008;1;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;0;1;0.0;0;0;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;3;0;0;1;2;0;3;1;1;100.0;0;0.0;1;3;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
147;Elías Brito;ARG;DF;Lanús;Liga Profesional Argentina;20;2005;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;3;4;75.0;65;34;0;0;;3;4;75.0;0;0;;0;0.0;0.0;0.0;0;0;1;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;4;0;0;1;3;0;4;0;0;;0;;1;9;6;0;1;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;
155;Joaquín Burgos;ARG;FW,MF;Estudiantes–LP;Liga Profesional Argentina;20;2004;13;6;530;5.9;3;1;4;3;0;0;1;0;0.7;0.7;1.3;2.1;19;23;59;0.51;0.17;0.68;0.51;0.68;0.12;0.23;0.35;0.12;0.35;10;5;50.0;1.70;0.85;0.30;0.60;20.2;1;0;0;0.7;0.7;0.07;+2.3;+2.3;173;268;64.6;2923;1051;90;114;78.9;60;92;65.2;19;48;39.6;1;1.3;1.1;-0.3;18;23;13;6;23;27;4.58;16;7;3;0;1;0;1;0.17;0;1;0;0;0;0;12;7;6;5;1;7;11;63.6;4;9;1;8;4;16;6;0;343;6;46;135;166;10;343;19;9;47.4;10;52.6;175;884;430;19;11;1;17;9;219;59;1;0;0;3;8;0;53;4;7;0;0;0;31;2;7;22.2
157;Felipe Bussio;ARG;MF,FW;Platense;Liga Profesional Argentina;21;2004;4;0;43;0.5;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;1;1;1;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.10;0.10;0.10;2;1;50.0;4.19;2.09;0.00;0.00;25.5;0;0;0;0.0;0.0;0.02;0.0;0.0;18;24;75.0;271;60;11;13;84.6;6;8;75.0;1;2;50.0;0;0.0;0.0;0.0;0;2;0;0;1;3;6.14;1;0;2;0;0;0;0;0.00;0;0;0;0;0;0;1;0;0;1;0;0;0;;0;0;0;0;0;1;4;0;33;1;6;25;2;0;33;2;2;100.0;0;0.0;12;46;26;1;1;0;1;0;18;1;1;0;0;2;0;0;0;0;0;0;0;0;1;2;2;50.0
178;Giovanni Cantizano;ARG;MF,FW;Rosario Central;Liga Profesional Argentina;18;2007;8;1;178;2.0;0;0;0;0;0;0;1;0;0.7;0.7;0.0;0.7;12;9;18;0.00;0.00;0.00;0.00;0.00;0.34;0.02;0.36;0.34;0.36;5;4;80.0;2.53;2.02;0.00;0.00;14.8;0;0;0;0.7;0.7;0.13;-0.7;-0.7;40;63;63.5;682;245;17;21;81.0;17;26;65.4;4;7;57.1;0;0.0;0.3;0.0;1;5;1;0;9;5;2.54;4;0;0;0;1;0;2;1.02;2;0;0;0;0;0;6;3;4;2;0;4;7;57.1;3;1;0;1;2;8;3;1;109;2;20;48;45;9;109;16;4;25.0;11;68.8;70;599;366;12;8;7;9;2;67;18;1;0;0;5;6;0;1;2;3;0;0;0;13;1;0;100.0
185;Juan Cardozo;PAR;MF;Arg Juniors;Liga Profesional Argentina;21;2004;9;3;347;3.9;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.2;1;17;2;0.00;0.00;0.00;0.00;0.00;0.01;0.04;0.04;0.01;0.04;2;0;0.0;0.52;0.00;0.00;;27.7;0;0;0;0.0;0.0;0.01;0.0;0.0;202;242;83.5;3370;1084;97;106;91.5;88;99;88.9;14;29;48.3;0;0.1;0.1;-0.1;3;15;2;0;17;7;1.82;4;0;0;0;2;1;1;0.26;1;0;0;0;0;0;9;8;3;5;1;2;5;40.0;3;7;1;6;0;9;13;0;292;16;100;172;20;0;292;6;4;66.7;2;33.3;143;552;199;1;3;0;1;2;187;2;1;0;0;5;5;0;0;0;8;0;0;0;24;8;14;36.4
186;Leonel Cardozo;ARG;DF;Lanús;Liga Profesional Argentina;21;2004;2;1;96;1.1;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.09;0.00;0.09;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;29;42;69.0;486;283;15;18;83.3;10;16;62.5;4;7;57.1;0;0.1;0.2;-0.1;1;2;1;0;3;1;0.94;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;2;2;1;1;0;1;2;50.0;1;2;0;2;0;2;5;0;53;5;22;18;13;2;53;1;1;100.0;0;0.0;19;27;12;0;0;0;2;1;21;0;1;0;0;1;0;0;0;0;2;0;1;0;2;1;0;100.0
194;Facundo Carrizo;ARG;MF;Arg Juniors;Liga Profesional Argentina;18;2007;1;0;11;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;7;10;70.0;187;25;2;3;66.7;3;4;75.0;2;3;66.7;0;0.0;0.0;0.0;0;1;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0;1;0;0;0;1;1;0;0;14;0;0;12;2;0;14;1;0;0.0;1;100.0;8;39;3;0;0;0;1;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;
