Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1//3;PPA;CrsPA;PrgP;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;1//3;CPA;Mis;Dis;Rec;PrgR;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%
60;Mihajlo Cvetković;SRB;FW;Anderlecht;Belgium Pro;18;2007;8;5;359;4.0;3;0;3;3;0;0;2;0;2.4;2.4;0.4;2.9;9;6;21;0.75;0.00;0.75;0.75;0.75;0.61;0.11;0.72;0.61;0.72;10;4;40.0;2.51;1.00;0.30;0.75;15.1;0;0;0;2.4;2.4;0.24;+0.6;+0.6;41;63;65.1;537;150;23;34;67.6;13;17;76.5;1;3;33.3;0;0.4;0.4;-0.4;3;6;1;0;6;9;2.26;8;0;0;0;1;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;2;0.0;2;0;0;0;0;0;3;0;98;3;9;36;54;19;98;4;0;0.0;4;100.0;62;313;162;9;1;3;8;7;74;21;2;0;0;7;7;2;2;0;0;0;0;0;10;1;8;11.1
61;Gabriel David;NGA;FW,DF;Antwerp;Belgium Pro;18;2007;8;0;118;1.3;0;0;0;0;0;0;1;0;0.1;0.1;0.1;0.2;1;0;8;0.00;0.00;0.00;0.00;0.00;0.10;0.04;0.14;0.10;0.14;1;0;0.0;0.76;0.00;0.00;;17.0;0;0;0;0.1;0.1;0.13;-0.1;-0.1;14;19;73.7;200;37;7;10;70.0;5;6;83.3;1;2;50.0;0;0.1;0.0;-0.1;2;1;0;0;0;5;3.81;3;0;1;1;0;0;0;0.00;0;0;0;0;0;0;2;1;2;0;0;1;2;50.0;1;4;1;3;0;2;2;0;44;3;6;19;19;2;44;3;1;33.3;2;66.7;23;86;29;1;1;0;11;5;27;8;1;0;0;2;3;3;2;0;1;0;0;0;2;3;6;33.3
63;Nathan De Cat;BEL;MF;Anderlecht;Belgium Pro;17;2008;15;14;1,176;13.1;1;1;2;1;0;0;2;0;0.7;0.7;0.9;1.6;9;79;23;0.08;0.08;0.15;0.08;0.15;0.06;0.07;0.12;0.06;0.12;14;1;7.1;1.07;0.08;0.07;1.00;21.9;0;0;0;0.7;0.7;0.05;+0.3;+0.3;366;499;73.3;6831;2137;167;205;81.5;136;174;78.2;51;89;57.3;1;0.9;0.8;+0.1;11;60;11;0;79;30;2.30;23;0;3;0;2;2;5;0.38;2;0;1;0;1;1;21;11;5;9;7;13;28;46.4;15;8;3;5;13;34;19;0;636;30;120;334;187;21;636;19;7;36.8;10;52.6;359;1401;607;9;15;1;11;8;407;23;2;0;0;25;13;0;8;13;11;0;0;0;57;11;17;39.3
64;Luc De Fougerolles;CAN;DF;Dender;Belgium Pro;20;2005;12;12;954;10.6;0;1;1;0;0;0;1;1;0.3;0.3;0.2;0.5;5;31;3;0.00;0.09;0.09;0.00;0.09;0.03;0.02;0.05;0.03;0.05;3;0;0.0;0.28;0.00;0.00;;7.2;0;0;0;0.3;0.3;0.10;-0.3;-0.3;468;561;83.4;8434;2787;171;185;92.4;257;289;88.9;31;67;46.3;1;0.2;0.1;+0.8;4;27;2;0;31;11;1.04;8;0;0;1;1;1;1;0.09;0;0;0;0;0;1;18;11;12;6;0;8;11;72.7;3;16;11;5;15;33;44;0;675;98;362;285;30;6;675;5;3;60.0;1;20.0;370;2168;1234;5;3;0;5;7;420;3;1;1;0;9;28;2;1;15;11;0;0;0;40;31;17;64.6
65;Kamiel Van De Perre;BEL;MF;Union SG;Belgium Pro;21;2004;10;6;602;6.7;0;2;2;0;0;0;3;0;0.1;0.1;0.3;0.4;3;35;7;0.00;0.30;0.30;0.00;0.30;0.02;0.05;0.07;0.02;0.07;2;0;0.0;0.30;0.00;0.00;;19.6;0;0;0;0.1;0.1;0.05;-0.1;-0.1;205;262;78.2;3629;1054;94;117;80.3;88;101;87.1;21;35;60.0;2;0.3;0.2;+1.7;6;25;5;0;35;18;2.69;17;0;0;0;1;0;3;0.45;3;0;0;0;0;0;27;20;12;15;0;13;16;81.3;3;4;1;3;8;35;18;0;342;19;70;225;48;1;342;8;2;25.0;5;62.5;153;675;310;3;4;0;11;3;177;7;3;0;0;14;5;0;2;8;20;0;1;0;41;12;14;46.2
66;Tibe De Vlieger;BEL;MF,DF;Gent;Belgium Pro;20;2005;6;1;143;1.6;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.2;1;7;6;0.00;0.00;0.00;0.00;0.00;0.02;0.08;0.10;0.02;0.10;1;0;0.0;0.63;0.00;0.00;;26.6;0;0;0;0.0;0.0;0.03;0.0;0.0;36;53;67.9;543;144;18;27;66.7;17;19;89.5;1;2;50.0;0;0.1;0.0;-0.1;2;3;0;0;7;4;2.50;2;0;0;0;2;0;1;0.62;0;0;0;0;1;0;4;3;1;2;1;2;3;66.7;1;1;0;1;4;8;1;0;77;4;13;37;29;2;77;3;1;33.3;2;66.7;38;204;72;1;0;0;7;6;40;6;0;0;0;3;4;0;4;4;3;1;0;0;5;2;4;33.3
69;Max Dean;ENG;FW;Gent;Belgium Pro;21;2004;2;0;67;0.7;0;1;1;0;0;1;0;1;1.9;1.1;0.4;1.5;3;3;5;0.00;1.34;1.34;0.00;1.34;2.55;0.51;3.05;1.49;2.00;4;1;25.0;5.37;1.34;0.00;0.00;20.2;0;0;1;1.9;1.1;0.28;-1.9;-1.1;11;15;73.3;171;72;5;6;83.3;4;6;66.7;1;1;100.0;1;0.4;0.4;+0.6;3;0;3;1;3;5;6.72;3;0;1;0;1;0;1;1.34;1;0;0;0;0;0;0;0;0;0;0;0;2;0.0;2;0;0;0;0;0;0;0;26;0;1;9;16;5;25;1;1;100.0;0;0.0;14;119;60;3;3;0;5;0;19;5;0;1;0;3;3;0;3;0;0;0;0;0;1;1;0;100.0
70;Tristan Degreef;BEL;FW,DF;Anderlecht;Belgium Pro;20;2005;11;4;361;4.0;1;0;1;1;0;0;1;1;0.7;0.7;0.2;0.9;10;18;33;0.25;0.00;0.25;0.25;0.25;0.17;0.05;0.22;0.17;0.22;8;2;25.0;1.99;0.50;0.13;0.50;17.1;0;0;0;0.7;0.7;0.08;+0.3;+0.3;115;152;75.7;1674;542;69;83;83.1;33;45;73.3;8;10;80.0;0;0.2;0.4;-0.2;5;10;8;0;18;12;2.98;10;0;1;0;1;0;1;0.25;0;0;0;0;1;0;6;5;2;2;2;4;6;66.7;2;6;2;4;1;7;4;0;206;3;32;73;102;21;206;11;3;27.3;5;45.5;127;609;236;10;2;4;13;5;132;33;1;1;0;7;11;0;4;1;5;0;1;0;26;2;4;33.3
72;Martin Delavallée;BEL;GK;Charleroi;Belgium Pro;21;2004;13;13;1,17;13.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;0;0.0;0.08;0.00;0.00;;12.2;0;0;0;0.0;0.0;0.04;0.0;0.0;279;428;65.2;8896;6698;40;40;100.0;133;136;97.8;105;249;42.2;0;0.0;0.0;0.0;0;12;0;0;0;2;0.15;0;1;0;1;0;0;1;0.08;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;13;3;456;325;451;4;1;1;456;0;0;;0;;272;1504;900;0;0;0;0;0;205;0;0;0;0;0;4;0;0;0;0;0;0;0;19;2;0;100.0
73;Mathias Delorge;BEL;MF;Gent;Belgium Pro;21;2004;14;14;950;10.6;0;2;2;0;0;0;1;0;0.2;0.2;0.7;0.9;8;74;15;0.00;0.19;0.19;0.00;0.19;0.02;0.06;0.09;0.02;0.09;8;4;50.0;0.76;0.38;0.00;0.00;28.3;1;0;0;0.2;0.2;0.03;-0.2;-0.2;597;705;84.7;12102;3686;200;232;86.2;293;323;90.7;93;122;76.2;2;0.7;1.2;+1.3;9;63;4;1;74;30;2.85;22;8;0;0;0;0;3;0.28;2;1;0;0;0;0;19;11;9;9;1;6;13;46.2;7;10;2;8;10;29;19;2;805;30;181;489;140;2;805;6;2;33.3;4;66.7;448;2151;1077;8;15;0;18;8;563;15;1;0;0;10;5;0;30;10;11;0;0;0;51;5;12;29.4
